Value1,Value2,Operation,Result
1,2,addition,3.0
1,2,addition,3.0
1,2,multiplication,2.0
1,2,addition,3.0
1,2,multiplication,2.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,subtraction,-1.0
1,2,division,0.5
1,2,addition,3.0
1,2,subtraction,-1.0
1,2,division,0.5
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
8,2,multiplication,16.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,69,addition,70.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
1,2,addition,3.0
