value_a,value_b,result
85,66,1.3
80,89,0.9
49,60,0.8
100,88,1.1
25,48,0.5
4,54,0.1
72,61,1.2
64,8,8.0
34,62,0.5
23,89,0.3
43,32,1.3
97,70,1.4
49,79,0.6
48,90,0.5
44,27,1.6
23,14,1.6
11,82,0.1
79,7,11.3
37,55,0.7
98,71,1.4
69,16,4.3
98,92,1.1
73,44,1.7
18,89,0.2
32,95,0.3
30,77,0.4
20,13,1.5
49,66,0.7
48,50,1.0
4,83,0.0
94,16,5.9
58,9,6.4
51,80,0.6
33,92,0.4
10,57,0.2
92,55,1.7
56,29,1.9
99,46,2.2
12,39,0.3
49,15,3.3
21,60,0.4
9,47,0.2
79,27,2.9
27,92,0.3
77,42,1.8
13,48,0.3
60,46,1.3
23,25,0.9
36,1,36.0
62,43,1.4
91,59,1.5
7,42,0.2
89,9,9.9
17,49,0.3
69,9,7.7
24,27,0.9
58,5,11.6
87,37,2.4
84,62,1.4
91,42,2.2
46,15,3.1
38,87,0.4
15,40,0.4
88,13,6.8
62,97,0.6
68,68,1.0
86,69,1.2
13,11,1.2
1,58,0.0
42,99,0.4
86,67,1.3
37,99,0.4
92,58,1.6
49,74,0.7
73,100,0.7
68,68,1.0
82,89,0.9
11,60,0.2
65,84,0.8
29,15,1.9
96,34,2.8
25,97,0.3
12,96,0.1
31,78,0.4
32,23,1.4
57,6,9.5
51,24,2.1
89,53,1.7
23,92,0.3
84,91,0.9
66,22,3.0
38,38,1.0
72,78,0.9
75,75,1.0
68,52,1.3
79,84,0.9
68,90,0.8
70,22,3.2
25,50,0.5
