value_a,value_b,result
85,66,19
80,89,-9
49,60,-11
100,88,12
25,48,-23
4,54,-50
72,61,11
64,8,56
34,62,-28
23,89,-66
43,32,11
97,70,27
49,79,-30
48,90,-42
44,27,17
23,14,9
11,82,-71
79,7,72
37,55,-18
98,71,27
69,16,53
98,92,6
73,44,29
18,89,-71
32,95,-63
30,77,-47
20,13,7
49,66,-17
48,50,-2
4,83,-79
94,16,78
58,9,49
51,80,-29
33,92,-59
10,57,-47
92,55,37
56,29,27
99,46,53
12,39,-27
49,15,34
21,60,-39
9,47,-38
79,27,52
27,92,-65
77,42,35
13,48,-35
60,46,14
23,25,-2
36,1,35
62,43,19
91,59,32
7,42,-35
89,9,80
17,49,-32
69,9,60
24,27,-3
58,5,53
87,37,50
84,62,22
91,42,49
46,15,31
38,87,-49
15,40,-25
88,13,75
62,97,-35
68,68,0
86,69,17
13,11,2
1,58,-57
42,99,-57
86,67,19
37,99,-62
92,58,34
49,74,-25
73,100,-27
68,68,0
82,89,-7
11,60,-49
65,84,-19
29,15,14
96,34,62
25,97,-72
12,96,-84
31,78,-47
32,23,9
57,6,51
51,24,27
89,53,36
23,92,-69
84,91,-7
66,22,44
38,38,0
72,78,-6
75,75,0
68,52,16
79,84,-5
68,90,-22
70,22,48
25,50,-25
